[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.004627s ]
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005075s ]
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001728s ]
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001864s ]
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.006266s ]
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006404s ]
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-27T00:19:40+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
