[ 2018-02-17T23:44:48+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --START--
[ 2018-02-17T23:44:48+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001554s ]
[ 2018-02-17T23:44:48+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001678s ]
[ 2018-02-17T23:44:48+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-17T23:44:48+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T23:44:48+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001124s ]
[ 2018-02-17T23:44:48+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001223s ]
[ 2018-02-17T23:44:49+08:00 ] /Public/Theme/style2/images/bottom_logo.gif | ERR: (ThinkException) 无法加载模块Public
[ 2018-02-17T23:44:49+08:00 ] /index.php/Index/getComment | INFO: Tag[ route_check ] --START--
[ 2018-02-17T23:44:49+08:00 ] /index.php/Index/getComment | INFO: Run CheckRoute Behavior [ RunTime:0.002085s ]
[ 2018-02-17T23:44:49+08:00 ] /index.php/Index/getComment | INFO: Tag[ route_check ] --END-- [ RunTime:0.002220s ]
[ 2018-02-17T23:44:49+08:00 ] /index.php/Index/getComment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-17T23:44:49+08:00 ] /index.php/Index/getComment | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T23:44:49+08:00 ] /index.php/Index/getComment | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004457s ]
[ 2018-02-17T23:44:49+08:00 ] /index.php/Index/getComment | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004551s ]
[ 2018-02-17T23:44:50+08:00 ] /index.php/Index/getComment | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-17T23:44:50+08:00 ] /index.php/Index/getComment | SQL: SHOW COLUMNS FROM `ningbo_comment` [ RunTime:0.002335s ]
[ 2018-02-17T23:44:50+08:00 ] /index.php/Index/getComment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T23:44:50+08:00 ] /index.php/Index/getComment | SQL: SELECT COUNT(*) AS tp_count FROM `ningbo_comment` WHERE ( `weibo_id` = 77 ) LIMIT 1   [ RunTime:0.000885s ]
[ 2018-02-17T23:44:50+08:00 ] /index.php/Index/getComment | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.002187s ]
[ 2018-02-17T23:44:50+08:00 ] /index.php/Index/getComment | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T23:44:50+08:00 ] /index.php/Index/getComment | SQL: SELECT comment.id AS id,comment.content AS content,comment.time AS time,comment.weibo_id AS weibo_id,userinfo.username AS username,userinfo.face50 AS face,userinfo.user_id AS user_id FROM ningbo_comment comment LEFT JOIN ningbo_userinfo userinfo ON userinfo.user_id = comment.user_id WHERE ( comment.weibo_id = 77 ) ORDER BY comment.time DESC LIMIT 0,4   [ RunTime:0.001953s ]
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --START--
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.004095s ]
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.004274s ]
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003459s ]
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003617s ]
[ 2018-02-17T23:44:51+08:00 ] /index.php/Common/pushMsg | NOTIC: [8] Undefined index: letter CommonAction.class.php 第 155 行.
