[ 2018-02-18T00:00:56+08:00 ] /index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.user_id IN ('2','4','5','6') ) ORDER BY weibo.time DESC LIMIT 0,10   [ RunTime:0.000980s ]
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.id = '9' ) LIMIT 1   [ RunTime:0.000894s ]
[ 2018-02-18T00:00:56+08:00 ] /index.php | INFO: Tag[ view_template ] --START--
[ 2018-02-18T00:00:56+08:00 ] /index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.007523s ]
[ 2018-02-18T00:00:56+08:00 ] /index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.007624s ]
[ 2018-02-18T00:00:56+08:00 ] /index.php | INFO: Tag[ view_parse ] --START--
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-18T00:00:56+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
