[ 2018-02-17T12:44:24+08:00 ] /Public/Theme/style2/images/bottom_logo.gif | ERR: (ThinkException) 无法加载模块Public
[ 2018-02-17T12:44:24+08:00 ] /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2018-02-17T12:44:42+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T12:44:42+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001040s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001132s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_follow_fans` [ RunTime:0.001458s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SELECT `follow` FROM `ningbo_follow_fans` WHERE ( `fans` = '1' )  [ RunTime:0.000587s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_weibo` [ RunTime:0.001678s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.001687s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `ningbo_picture` [ RunTime:0.001646s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SELECT COUNT(*) AS tp_count FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.user_id IN ('1','3','2') ) LIMIT 1   [ RunTime:0.000821s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.user_id IN ('1','3','2') ) ORDER BY weibo.time DESC LIMIT 0,10   [ RunTime:0.000941s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.id = '9' ) LIMIT 1   [ RunTime:0.000641s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.id = '9' ) LIMIT 1   [ RunTime:0.004288s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.id = '9' ) LIMIT 1   [ RunTime:0.000818s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-17T12:44:42+08:00 ] /index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.user_id AS user_id,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM ningbo_weibo weibo LEFT JOIN ningbo_userinfo userinfo ON weibo.user_id = userinfo.user_id LEFT JOIN ningbo_picture picture ON weibo.id = picture.weibo_id WHERE ( weibo.id = '9' ) LIMIT 1   [ RunTime:0.000661s ]
[ 2018-02-17T12:44:42+08:00 ] /index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
