[ 2018-02-27T11:21:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --START--
[ 2018-02-27T11:21:21+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000969s ]
[ 2018-02-27T11:21:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001056s ]
[ 2018-02-27T11:21:21+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-27T11:21:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-27T11:21:21+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000683s ]
[ 2018-02-27T11:21:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000750s ]
[ 2018-02-27T11:21:22+08:00 ] /index.php/Common/pushMsg | NOTIC: [8] Undefined index: status CommonAction.class.php 第 145 行.
[ 2018-02-27T11:21:22+08:00 ] /index.php/Common/pushMsg | NOTIC: [8] Undefined index: status CommonAction.class.php 第 155 行.
[ 2018-02-27T11:21:22+08:00 ] /index.php/Common/pushMsg | NOTIC: [8] Undefined index: status CommonAction.class.php 第 165 行.
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --START--
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001371s ]
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001461s ]
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000971s ]
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001042s ]
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | NOTIC: [8] Undefined index: status CommonAction.class.php 第 145 行.
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | NOTIC: [8] Undefined index: status CommonAction.class.php 第 155 行.
[ 2018-02-27T11:21:27+08:00 ] /index.php/Common/pushMsg | NOTIC: [8] Undefined index: status CommonAction.class.php 第 165 行.
